global_step,episodic_return
6.000000000000000000e+01,1.500000000000000000e+01
1.080000000000000000e+02,2.700000000000000000e+01
1.160000000000000000e+02,2.900000000000000000e+01
1.240000000000000000e+02,3.100000000000000000e+01
1.520000000000000000e+02,2.200000000000000000e+01
1.640000000000000000e+02,1.100000000000000000e+01
1.720000000000000000e+02,1.100000000000000000e+01
1.960000000000000000e+02,2.100000000000000000e+01
2.200000000000000000e+02,1.100000000000000000e+01
2.280000000000000000e+02,1.800000000000000000e+01
2.640000000000000000e+02,2.400000000000000000e+01
2.960000000000000000e+02,1.600000000000000000e+01
3.360000000000000000e+02,2.800000000000000000e+01
3.440000000000000000e+02,1.900000000000000000e+01
3.560000000000000000e+02,1.400000000000000000e+01
3.560000000000000000e+02,3.900000000000000000e+01
4.000000000000000000e+02,1.000000000000000000e+01
4.080000000000000000e+02,1.500000000000000000e+01
4.240000000000000000e+02,2.100000000000000000e+01
4.720000000000000000e+02,1.700000000000000000e+01
4.960000000000000000e+02,1.700000000000000000e+01
5.200000000000000000e+02,4.000000000000000000e+01
5.600000000000000000e+02,3.700000000000000000e+01
5.720000000000000000e+02,2.400000000000000000e+01
6.000000000000000000e+02,2.500000000000000000e+01
6.120000000000000000e+02,1.200000000000000000e+01
6.600000000000000000e+02,3.400000000000000000e+01
6.880000000000000000e+02,2.100000000000000000e+01
7.000000000000000000e+02,3.100000000000000000e+01
7.240000000000000000e+02,1.500000000000000000e+01
7.600000000000000000e+02,1.400000000000000000e+01
7.680000000000000000e+02,1.900000000000000000e+01
8.200000000000000000e+02,2.300000000000000000e+01
8.240000000000000000e+02,1.300000000000000000e+01
8.680000000000000000e+02,1.100000000000000000e+01
8.800000000000000000e+02,1.300000000000000000e+01
8.800000000000000000e+02,6.600000000000000000e+01
9.000000000000000000e+02,3.400000000000000000e+01
9.320000000000000000e+02,1.200000000000000000e+01
9.520000000000000000e+02,2.000000000000000000e+01
9.560000000000000000e+02,1.800000000000000000e+01
9.920000000000000000e+02,2.200000000000000000e+01
1.060000000000000000e+03,1.600000000000000000e+01
1.064000000000000000e+03,2.700000000000000000e+01
1.120000000000000000e+03,1.300000000000000000e+01
1.136000000000000000e+03,5.000000000000000000e+01
1.196000000000000000e+03,3.300000000000000000e+01
1.212000000000000000e+03,1.800000000000000000e+01
1.240000000000000000e+03,7.000000000000000000e+01
1.276000000000000000e+03,3.800000000000000000e+01
1.280000000000000000e+03,1.600000000000000000e+01
1.304000000000000000e+03,1.500000000000000000e+01
1.324000000000000000e+03,3.100000000000000000e+01
1.356000000000000000e+03,1.900000000000000000e+01
1.404000000000000000e+03,3.000000000000000000e+01
1.412000000000000000e+03,2.600000000000000000e+01
1.428000000000000000e+03,1.700000000000000000e+01
1.472000000000000000e+03,1.400000000000000000e+01
1.476000000000000000e+03,1.700000000000000000e+01
1.524000000000000000e+03,4.900000000000000000e+01
1.536000000000000000e+03,2.600000000000000000e+01
1.576000000000000000e+03,2.500000000000000000e+01
1.604000000000000000e+03,1.900000000000000000e+01
1.660000000000000000e+03,3.000000000000000000e+01
1.664000000000000000e+03,1.400000000000000000e+01
1.680000000000000000e+03,2.500000000000000000e+01
1.684000000000000000e+03,5.100000000000000000e+01
1.712000000000000000e+03,1.200000000000000000e+01
1.752000000000000000e+03,2.100000000000000000e+01
1.788000000000000000e+03,2.500000000000000000e+01
1.792000000000000000e+03,1.900000000000000000e+01
1.796000000000000000e+03,2.800000000000000000e+01
1.848000000000000000e+03,2.300000000000000000e+01
1.868000000000000000e+03,1.800000000000000000e+01
1.908000000000000000e+03,2.900000000000000000e+01
1.948000000000000000e+03,2.400000000000000000e+01
1.968000000000000000e+03,1.400000000000000000e+01
2.000000000000000000e+03,5.000000000000000000e+01
2.032000000000000000e+03,2.000000000000000000e+01
2.032000000000000000e+03,4.000000000000000000e+01
2.076000000000000000e+03,1.800000000000000000e+01
2.152000000000000000e+03,2.900000000000000000e+01
2.168000000000000000e+03,2.200000000000000000e+01
2.228000000000000000e+03,1.800000000000000000e+01
2.240000000000000000e+03,5.100000000000000000e+01
2.252000000000000000e+03,7.000000000000000000e+01
2.308000000000000000e+03,3.400000000000000000e+01
2.324000000000000000e+03,1.700000000000000000e+01
2.340000000000000000e+03,2.400000000000000000e+01
2.396000000000000000e+03,2.100000000000000000e+01
2.408000000000000000e+03,1.600000000000000000e+01
2.444000000000000000e+03,5.300000000000000000e+01
2.472000000000000000e+03,3.600000000000000000e+01
2.540000000000000000e+03,2.300000000000000000e+01
2.540000000000000000e+03,3.500000000000000000e+01
2.548000000000000000e+03,1.800000000000000000e+01
2.556000000000000000e+03,3.600000000000000000e+01
2.636000000000000000e+03,1.900000000000000000e+01
2.640000000000000000e+03,2.200000000000000000e+01
2.644000000000000000e+03,2.500000000000000000e+01
2.708000000000000000e+03,1.700000000000000000e+01
2.728000000000000000e+03,2.000000000000000000e+01
2.732000000000000000e+03,2.200000000000000000e+01
2.748000000000000000e+03,5.100000000000000000e+01
2.792000000000000000e+03,1.400000000000000000e+01
2.840000000000000000e+03,2.200000000000000000e+01
2.864000000000000000e+03,3.300000000000000000e+01
2.968000000000000000e+03,2.500000000000000000e+01
2.984000000000000000e+03,6.800000000000000000e+01
3.032000000000000000e+03,5.900000000000000000e+01
