global_step,episodic_return
6.000000000000000000e+01,1.500000000000000000e+01
1.080000000000000000e+02,2.700000000000000000e+01
1.160000000000000000e+02,2.900000000000000000e+01
1.240000000000000000e+02,3.100000000000000000e+01
1.520000000000000000e+02,2.200000000000000000e+01
1.640000000000000000e+02,1.100000000000000000e+01
1.720000000000000000e+02,1.100000000000000000e+01
1.960000000000000000e+02,2.100000000000000000e+01
2.200000000000000000e+02,1.100000000000000000e+01
2.280000000000000000e+02,1.800000000000000000e+01
2.640000000000000000e+02,2.400000000000000000e+01
2.960000000000000000e+02,1.600000000000000000e+01
3.360000000000000000e+02,2.800000000000000000e+01
3.440000000000000000e+02,1.900000000000000000e+01
3.560000000000000000e+02,1.400000000000000000e+01
3.560000000000000000e+02,3.900000000000000000e+01
4.000000000000000000e+02,1.000000000000000000e+01
4.080000000000000000e+02,1.500000000000000000e+01
4.240000000000000000e+02,2.100000000000000000e+01
4.720000000000000000e+02,1.700000000000000000e+01
4.960000000000000000e+02,1.700000000000000000e+01
5.200000000000000000e+02,4.000000000000000000e+01
5.600000000000000000e+02,3.700000000000000000e+01
5.720000000000000000e+02,2.400000000000000000e+01
6.000000000000000000e+02,2.500000000000000000e+01
6.120000000000000000e+02,1.200000000000000000e+01
6.600000000000000000e+02,3.400000000000000000e+01
6.880000000000000000e+02,2.100000000000000000e+01
7.000000000000000000e+02,3.100000000000000000e+01
7.240000000000000000e+02,1.500000000000000000e+01
7.600000000000000000e+02,1.400000000000000000e+01
7.680000000000000000e+02,1.900000000000000000e+01
8.200000000000000000e+02,2.300000000000000000e+01
8.240000000000000000e+02,1.300000000000000000e+01
8.680000000000000000e+02,1.100000000000000000e+01
8.800000000000000000e+02,1.300000000000000000e+01
8.800000000000000000e+02,6.600000000000000000e+01
9.000000000000000000e+02,3.400000000000000000e+01
9.320000000000000000e+02,1.200000000000000000e+01
9.520000000000000000e+02,2.000000000000000000e+01
9.560000000000000000e+02,1.800000000000000000e+01
9.920000000000000000e+02,2.200000000000000000e+01
1.060000000000000000e+03,1.600000000000000000e+01
1.064000000000000000e+03,2.700000000000000000e+01
1.120000000000000000e+03,1.300000000000000000e+01
1.136000000000000000e+03,5.000000000000000000e+01
1.144000000000000000e+03,2.000000000000000000e+01
1.212000000000000000e+03,1.800000000000000000e+01
1.240000000000000000e+03,7.000000000000000000e+01
1.252000000000000000e+03,2.600000000000000000e+01
1.276000000000000000e+03,3.800000000000000000e+01
1.280000000000000000e+03,1.600000000000000000e+01
1.304000000000000000e+03,1.500000000000000000e+01
1.340000000000000000e+03,2.100000000000000000e+01
1.356000000000000000e+03,1.900000000000000000e+01
1.404000000000000000e+03,3.000000000000000000e+01
1.412000000000000000e+03,2.600000000000000000e+01
1.428000000000000000e+03,1.700000000000000000e+01
1.452000000000000000e+03,2.700000000000000000e+01
1.472000000000000000e+03,1.400000000000000000e+01
1.476000000000000000e+03,1.700000000000000000e+01
1.524000000000000000e+03,1.700000000000000000e+01
1.536000000000000000e+03,2.600000000000000000e+01
1.576000000000000000e+03,2.500000000000000000e+01
1.616000000000000000e+03,2.200000000000000000e+01
1.660000000000000000e+03,3.000000000000000000e+01
1.680000000000000000e+03,2.500000000000000000e+01
1.684000000000000000e+03,5.100000000000000000e+01
1.700000000000000000e+03,2.000000000000000000e+01
1.712000000000000000e+03,1.200000000000000000e+01
1.788000000000000000e+03,2.500000000000000000e+01
1.792000000000000000e+03,1.900000000000000000e+01
1.796000000000000000e+03,2.800000000000000000e+01
1.868000000000000000e+03,1.800000000000000000e+01
1.908000000000000000e+03,2.900000000000000000e+01
1.968000000000000000e+03,1.400000000000000000e+01
2.000000000000000000e+03,7.400000000000000000e+01
2.000000000000000000e+03,5.000000000000000000e+01
2.052000000000000000e+03,4.500000000000000000e+01
2.076000000000000000e+03,1.800000000000000000e+01
2.108000000000000000e+03,1.300000000000000000e+01
2.168000000000000000e+03,2.200000000000000000e+01
2.212000000000000000e+03,2.500000000000000000e+01
2.252000000000000000e+03,7.000000000000000000e+01
2.308000000000000000e+03,3.400000000000000000e+01
2.324000000000000000e+03,1.700000000000000000e+01
2.332000000000000000e+03,8.200000000000000000e+01
2.364000000000000000e+03,3.700000000000000000e+01
2.436000000000000000e+03,1.700000000000000000e+01
2.448000000000000000e+03,3.400000000000000000e+01
2.472000000000000000e+03,3.600000000000000000e+01
2.476000000000000000e+03,3.500000000000000000e+01
2.524000000000000000e+03,1.800000000000000000e+01
2.540000000000000000e+03,1.500000000000000000e+01
2.544000000000000000e+03,2.600000000000000000e+01
2.548000000000000000e+03,1.800000000000000000e+01
2.568000000000000000e+03,1.000000000000000000e+01
2.640000000000000000e+03,2.200000000000000000e+01
2.652000000000000000e+03,2.600000000000000000e+01
2.684000000000000000e+03,2.800000000000000000e+01
2.720000000000000000e+03,1.600000000000000000e+01
2.732000000000000000e+03,2.200000000000000000e+01
2.788000000000000000e+03,6.100000000000000000e+01
2.792000000000000000e+03,1.400000000000000000e+01
2.808000000000000000e+03,2.100000000000000000e+01
2.948000000000000000e+03,3.400000000000000000e+01
2.976000000000000000e+03,7.200000000000000000e+01
3.004000000000000000e+03,1.300000000000000000e+01
3.020000000000000000e+03,5.700000000000000000e+01
3.032000000000000000e+03,5.900000000000000000e+01
